,floor,floors_count,rooms_count,total_meters,price,lat,lon,author_type_homeowner,author_type_official_representative,author_type_real_estate_agent,author_type_realtor,author_type_representative_developer,district_quality,quality_price
46,0.0,9.0,2.0,45.0,11800000,55.75797955,37.75870626204684,False,False,False,True,False,278832.3931736089,12547457.692812402
47,0.0,31.0,2.0,49.7,17809458,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,17996596.21055157
48,0.0,12.0,2.0,48.0,13150000,55.75774215,37.713732781550206,False,False,False,True,False,340619.0462461725,16349714.21981628
49,0.0,24.0,1.0,22.5,9378020,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,8147352.409203427
50,0.0,24.0,2.0,35.7,14000000,55.7585445,37.685285,False,False,True,False,False,451390.6242545738,16114645.285888284
51,0.0,31.0,1.0,33.6,12679351,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,12166712.931077119
53,0.0,9.0,2.0,56.8,19431586,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,20567538.52634465
54,0.0,9.0,2.0,36.8,11100000,55.7577103,37.7586682,False,False,False,True,False,278832.3931736089,10261032.068788808
55,0.0,24.0,1.0,19.9,8714504,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,7205880.575251031
56,0.0,12.0,2.0,55.4,17800000,55.7507611,37.71949563218468,False,False,False,True,False,283683.26953165256,15716053.132053552
57,0.0,31.0,1.0,34.5,12795637,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,12492607.027445255
58,0.0,23.0,2.0,47.6,20500000,55.7585445,37.685285,False,False,False,True,False,451390.6242545738,21486193.714517713
59,0.0,31.0,2.0,57.1,18732376,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,20676169.891800698
60,0.0,12.0,2.0,49.5,13700000,55.7443146,37.70279535099338,False,False,False,True,False,335827.74008298066,16623473.134107543
61,0.0,24.0,1.0,19.4,8889700,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,7024828.299490955
62,0.0,12.0,3.0,92.0,25000000,55.7507611,37.71949563218468,False,False,True,False,False,283683.26953165256,26098860.796912037
63,0.0,31.0,3.0,71.2,22393671,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,25781844.068234846
65,0.0,24.0,3.0,77.2,23719506,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,27954471.377355758
66,0.0,8.0,3.0,83.7,19000000,55.7593651,37.7593466,False,False,False,True,False,278832.3931736089,23338271.30863107
67,0.0,31.0,1.0,41.1,14629502,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,14882497.06747826
68,0.0,5.0,3.0,63.0,17500000,55.7502337,37.71624108756915,False,False,True,False,False,283919.657942792,17886938.450395897
69,0.0,24.0,3.0,88.4,27125461,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,32010042.354381464
70,0.0,8.0,4.0,116.0,29300000,55.74490785,37.7209210918536,False,False,True,False,False,283635.98628919496,32901774.409546614
71,0.0,24.0,1.0,42.6,15367075,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,15425653.894758489
73,0.0,24.0,1.0,42.3,14900766,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,15317022.529302442
74,0.0,27.0,4.0,97.2,33000000,55.7509339,37.70581703825712,False,False,True,False,False,430884.86732278945,41882009.103775136
75,0.0,9.0,1.0,41.6,15080921,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,15063549.343238337
76,0.0,12.0,2.0,45.9,13800000,55.7621599,37.7739301,False,False,False,True,False,232358.0473856209,10665234.375
77,0.0,31.0,2.0,58.3,19126051,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,21110695.35362488
