,url,rooms_count,total_meters,price,district
84,https://www.cian.ru/sale/flat/293912417/,2.0,96.8,46700000,Лефортово
85,https://www.cian.ru/sale/flat/297334695/,1.0,34.4,13361531,Перово
86,https://www.cian.ru/sale/flat/299965288/,2.0,39.8,31000000,Лефортово
87,https://www.cian.ru/sale/flat/299037877/,2.0,65.5,20222561,Перово
88,https://www.cian.ru/sale/flat/298698886/,3.0,82.9,22600000,Лефортово
89,https://www.cian.ru/sale/flat/298814507/,2.0,64.8,22400762,Перово
90,https://www.cian.ru/sale/flat/299966772/,3.0,83.5,58000000,Лефортово
91,https://www.cian.ru/sale/flat/298814340/,2.0,55.1,18059788,Перово
92,https://www.cian.ru/sale/flat/298618651/,3.0,79.0,38700000,Лефортово
93,https://www.cian.ru/sale/flat/298814448/,2.0,55.8,18505959,Перово
94,https://www.cian.ru/sale/flat/298979502/,1.0,21.0,13500000,Лефортово
95,https://www.cian.ru/sale/flat/298814451/,1.0,41.4,14431170,Перово
96,https://www.cian.ru/sale/flat/297779710/,2.0,62.0,20506603,Перово
97,https://www.cian.ru/sale/flat/297566818/,1.0,36.9,14497948,Перово
98,https://www.cian.ru/sale/flat/297249128/,3.0,116.6,43500000,Лефортово
99,https://www.cian.ru/sale/flat/298401547/,2.0,51.3,17636862,Перово
100,https://www.cian.ru/sale/flat/298312705/,1.0,35.1,19000000,Лефортово
101,https://www.cian.ru/sale/flat/296791021/,1.0,19.9,9025666,Перово
102,https://www.cian.ru/sale/flat/296575207/,2.0,59.4,23000000,Лефортово
103,https://www.cian.ru/sale/flat/299982358/,1.0,36.6,13519825,Перово
105,https://www.cian.ru/sale/flat/298814446/,2.0,58.0,19726583,Перово
106,https://www.cian.ru/sale/flat/297471060/,2.0,66.0,25900000,Лефортово
107,https://www.cian.ru/sale/flat/298814435/,1.0,20.6,9404701,Перово
108,https://www.cian.ru/sale/flat/297084423/,1.0,26.7,13900000,Лефортово
109,https://www.cian.ru/sale/flat/299982352/,1.0,26.6,10519974,Перово
110,https://www.cian.ru/sale/flat/297941454/,2.0,54.2,26000000,Лефортово
111,https://www.cian.ru/sale/flat/299702512/,3.0,96.4,26953440,Лефортово
112,https://www.cian.ru/sale/flat/299737160/,1.0,31.5,16200000,Лефортово
113,https://www.cian.ru/sale/flat/300022980/,4.0,100.3,28000000,Лефортово
114,https://www.cian.ru/sale/flat/299619257/,3.0,79.0,39500000,Лефортово
115,https://www.cian.ru/sale/flat/294418297/,4.0,71.8,19000000,Лефортово
116,https://www.cian.ru/sale/flat/296215070/,4.0,124.0,44200000,Лефортово
117,https://www.cian.ru/sale/flat/295042808/,1.0,38.5,12990000,Перово
118,https://www.cian.ru/sale/flat/299256702/,2.0,55.8,25999999,Лефортово
119,https://www.cian.ru/sale/flat/295103384/,1.0,30.0,15000000,Лефортово
120,https://www.cian.ru/sale/flat/299915294/,1.0,37.5,20000000,Лефортово
121,https://www.cian.ru/sale/flat/298953048/,2.0,51.0,14500000,Лефортово
122,https://www.cian.ru/sale/flat/297217007/,2.0,44.3,12990000,Лефортово
123,https://www.cian.ru/sale/flat/299417295/,2.0,45.0,11300000,Перово
124,https://www.cian.ru/sale/flat/296043394/,1.0,31.3,10600000,Лефортово
126,https://www.cian.ru/sale/flat/299248422/,1.0,15.9,4400000,Лефортово
127,https://www.cian.ru/sale/flat/298902914/,4.0,84.0,19800000,Лефортово
128,https://www.cian.ru/sale/flat/292636666/,2.0,59.7,17500000,Лефортово
129,https://www.cian.ru/sale/flat/296684830/,3.0,60.6,26500000,Лефортово
130,https://www.cian.ru/sale/flat/298528182/,2.0,43.9,11900000,Лефортово
131,https://www.cian.ru/sale/flat/291832939/,4.0,87.6,18500000,Лефортово
132,https://www.cian.ru/sale/flat/295598109/,2.0,60.0,14000000,Лефортово
133,https://www.cian.ru/sale/flat/299591602/,2.0,36.5,13500000,Перово
134,https://www.cian.ru/sale/flat/297968483/,2.0,60.0,30000000,Лефортово
135,https://www.cian.ru/sale/flat/299387142/,3.0,60.4,16900000,Лефортово
136,https://www.cian.ru/sale/flat/298028269/,2.0,44.0,13500000,Лефортово
137,https://www.cian.ru/sale/flat/299180829/,2.0,42.8,12000000,Соколиная гора
138,https://www.cian.ru/sale/flat/298346807/,1.0,19.7,10350000,Лефортово
139,https://www.cian.ru/sale/flat/299986165/,2.0,93.0,50000000,Лефортово
140,https://www.cian.ru/sale/flat/299027406/,3.0,85.0,29495000,Лефортово
141,https://www.cian.ru/sale/flat/300059061/,3.0,97.3,42000000,Лефортово
143,https://www.cian.ru/sale/flat/299249284/,1.0,18.9,5000000,Лефортово
144,https://www.cian.ru/sale/flat/298689111/,1.0,38.0,10700000,Лефортово
145,https://www.cian.ru/sale/flat/300065274/,4.0,97.3,42000000,Лефортово
147,https://www.cian.ru/sale/flat/299434247/,2.0,58.0,20000000,Лефортово
148,https://www.cian.ru/sale/flat/299029387/,4.0,103.0,23250000,Соколиная гора
149,https://www.cian.ru/sale/flat/298655223/,2.0,51.0,23800000,Лефортово
150,https://www.cian.ru/sale/flat/298011109/,2.0,80.6,27300000,Лефортово
151,https://www.cian.ru/sale/flat/299410701/,1.0,38.0,16700000,Лефортово
152,https://www.cian.ru/sale/flat/299360605/,1.0,25.0,13000000,Лефортово
153,https://www.cian.ru/sale/flat/295252218/,4.0,105.0,26800000,Перово
154,https://www.cian.ru/sale/flat/299134906/,3.0,51.3,14700000,Лефортово
155,https://www.cian.ru/sale/flat/298504819/,1.0,24.6,11500000,Лефортово
156,https://www.cian.ru/sale/flat/299344556/,3.0,84.0,19000000,Перово
157,https://www.cian.ru/sale/flat/291489704/,2.0,72.0,46500000,Лефортово
158,https://www.cian.ru/sale/flat/299338657/,2.0,63.6,35000000,Лефортово
159,https://www.cian.ru/sale/flat/299905604/,1.0,24.2,11750000,Лефортово
160,https://www.cian.ru/sale/flat/297933121/,3.0,89.0,37500000,Лефортово
161,https://www.cian.ru/sale/flat/297005443/,1.0,30.1,16900000,Лефортово
162,https://www.cian.ru/sale/flat/294581749/,1.0,35.7,16400000,Лефортово
164,https://www.cian.ru/sale/flat/297808548/,2.0,58.7,30800000,Лефортово
165,https://www.cian.ru/sale/flat/298174435/,2.0,59.0,31000000,Лефортово
166,https://www.cian.ru/sale/flat/298709020/,3.0,75.6,44000000,Лефортово
167,https://www.cian.ru/sale/flat/299517129/,3.0,57.4,20000000,Лефортово
168,https://www.cian.ru/sale/flat/298773405/,1.0,27.9,12800000,Лефортово
169,https://www.cian.ru/sale/flat/297796119/,2.0,50.0,29400000,Лефортово
170,https://www.cian.ru/sale/flat/295727177/,3.0,84.8,31500000,Лефортово
171,https://www.cian.ru/sale/flat/298296909/,3.0,87.0,21500000,Лефортово
172,https://www.cian.ru/sale/flat/298608033/,2.0,38.3,16700000,Лефортово
173,https://www.cian.ru/sale/flat/285299956/,3.0,80.0,29900000,Соколиная гора
175,https://www.cian.ru/sale/flat/294694885/,1.0,32.5,18700000,Лефортово
176,https://www.cian.ru/sale/flat/298952972/,2.0,48.0,21500000,Лефортово
178,https://www.cian.ru/sale/flat/299519328/,2.0,70.0,32000000,Лефортово
179,https://www.cian.ru/sale/flat/297165597/,1.0,32.1,12000000,Лефортово
180,https://www.cian.ru/sale/flat/299408440/,4.0,97.0,35000000,Лефортово
181,https://www.cian.ru/sale/flat/298101055/,2.0,40.9,21900000,Лефортово
182,https://www.cian.ru/sale/flat/296979920/,1.0,33.0,17700000,Лефортово
183,https://www.cian.ru/sale/flat/296847130/,1.0,28.4,17950000,Лефортово
184,https://www.cian.ru/sale/flat/298243766/,2.0,53.0,17500000,Лефортово
185,https://www.cian.ru/sale/flat/297940940/,4.0,132.4,43900000,Лефортово
186,https://www.cian.ru/sale/flat/295332938/,1.0,35.0,17300000,Лефортово
187,https://www.cian.ru/sale/flat/295245224/,4.0,136.0,53700000,Лефортово
188,https://www.cian.ru/sale/flat/298323789/,1.0,40.0,20590000,Лефортово
189,https://www.cian.ru/sale/flat/299256555/,2.0,47.9,26000000,Лефортово
190,https://www.cian.ru/sale/flat/297325072/,3.0,80.0,21950000,Лефортово
191,https://www.cian.ru/sale/flat/297498323/,1.0,37.8,13099000,Перово
192,https://www.cian.ru/sale/flat/299016537/,1.0,34.0,18000000,Соколиная гора
193,https://www.cian.ru/sale/flat/297539671/,1.0,30.0,16500000,Лефортово
194,https://www.cian.ru/sale/flat/298622644/,2.0,57.5,22890000,Лефортово
195,https://www.cian.ru/sale/flat/298781692/,3.0,73.5,21500000,Лефортово
196,https://www.cian.ru/sale/flat/294576801/,3.0,103.1,36540000,Лефортово
197,https://www.cian.ru/sale/flat/295813644/,2.0,67.0,28000000,Лефортово
198,https://www.cian.ru/sale/flat/294557496/,2.0,65.0,27405000,Лефортово
199,https://www.cian.ru/sale/flat/293573292/,2.0,89.6,55000000,Лефортово
200,https://www.cian.ru/sale/flat/296371533/,1.0,33.6,17600000,Лефортово
